	Color	Material	Finish	Width	Depth	Height
2119-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-ottoman	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	19.7	25.6	17.3
2119-ottoman	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	25.6	25.6	17.3
2119-chair	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	24	42	38
2383-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	123.5/102.7	42	36.5
2383-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	123.5/102.7	42	36.5
430-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	151	120	31/37
430-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	151	120	31/37
430-coffee-table	White	Top-grain Leather Front/Eco Leather Back	N/A	40	40	19
950-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117	41/69(chaise)	30/38
950-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117	41/69(chaise)	30/38
2605-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	135/110	42	30/38
2119-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-chair	White	Top-grain Leather Front/Eco Leather Back	N/A	24	42	38
2119-wedge	White	Top-grain Leather Front/Eco Leather Back	N/A	42	42	38
apolo-sectional	Black	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
apolo-sectional	Black	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
2144-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	64	32	18
2144-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117/146	37	37/40
2144-ottoman	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117/146	37	37/40
2566-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	124/117	39	31/39
argento-sectional-with-bed-and-storage	Brown/Wenge/Walnut	Full Top-grain Leather	N/A	112	84	37
