Variant SKU	Handle	Title	Intro	Color	Material	Finish	W	D	H	Features
1518-FD85/XFD-K	passions-fitted-sleep-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	76	80	n/a	n/a
1518-FD85/XFD-Q	passions-fitted-sleep-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	60	80	n/a	n/a
1518-FD85/XFD-F	passions-fitted-sleep-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	53	75	n/a	n/a
1518-FD85/XFD-T	passions-fitted-sleep-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	38	75	n/a	n/a
1589-SFH/XSF-K	passions-tifton-hybrid-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	76	80	n/a	n/a
1589-SFH/XSF-Q	passions-tifton-hybrid-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	60	80	n/a	n/a
1589-SFH/XSF-F	passions-tifton-hybrid-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	53	75	n/a	n/a
1589-SFH/XSF-T	passions-tifton-hybrid-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	38	75	n/a	n/a
1589-SFH/XSF-K	passions-sunderland-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	76	80	n/a	n/a
1589-SFH/XSF-Q	passions-sunderland-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	60	80	n/a	n/a
1589-SFH/XSF-F	passions-sunderland-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	53	75	n/a	n/a
1589-SFH/XSF-T	passions-sunderland-foundation	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	black	n/a	n/a	38	75	n/a	n/a
1591-FD85/XFD-K	prime-glensboro-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	76	80	n/a	n/a
1591-FD85/XFD-Q	prime-glensboro-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	60	80	n/a	n/a
1591-FD85/XFD-F	prime-glensboro-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	53	75	n/a	n/a
1591-FD85/XFD-T	prime-glensboro-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	38	75	n/a	n/a
1591-FD85/XFD-K	prime-rossburn-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	76	80	n/a	n/a
1591-FD85/XFD-Q	prime-rossburn-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	60	80	n/a	n/a
1591-FD85/XFD-F	prime-rossburn-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	53	75	n/a	n/a
1591-FD85/XFD-T	prime-rossburn-foundation	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	black	n/a	n/a	38	75	n/a	n/a
22063-K	prime-glensboro-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	76	80	n/a	n/a
22063-Q	prime-glensboro-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	60	80	n/a	n/a
22063-F	prime-glensboro-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	53	75	n/a	n/a
