"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Published","Published At","Published Scope","Template Suffix","URL"
"5827032071","dawson-sofa-sleeper","UPDATE","Dawson Lion Queen Sleeper Sofa","<p><strong>✪ PRE-ORDER<span> </span>RECLINER<span> </span>IN<span> BLACK OR BROWN </span>NOW!  ETA March '20 ✪   </strong><br></p>
<p>*All other options<span> </span>can be shipped<span> </span>sooner based on availability.  If you have any questions, please contact us.</p>
<p> </p>
<p><span>Whether you prefer fashion black, golden cream, or chocolate brown, Dawson looks spectacular! Luxurious texture, 100% leather seating &amp; your choice of mattress; this Queen rules.</span></p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p>91"" W x 43"" D x 41"" H</p>","Mstar","sofas","BF2019, clearance, color-beige, color-black, color-brown, color-cream, columbus, CURRENT_SALE, Election, ElectionDay_2018, FF-7/11/16, HOLIDAY, Holiday_1, Jan_14_2019, july4th, July_2017, LABOR_DAY, leather-collection, material-leather-match, Memorial2019, No_Discount, President_day, sale, sale-presidents day-2020, sleeper, sleeper-queen, style-casual, SUMMER-7/20/16, Summer_2017, TAX, TAX2019, width-85-95","REPLACE","2016-03-29T13:41:47-04:00","2020-02-06T11:00:43-05:00","true","2016-04-21T13:10:00-04:00","global","","https://www.jenniferfurniture.com/products/dawson-sofa-sleeper"
"11602372947","terrence-power-sofa","UPDATE","Terrence Queen Sleeper Sofa","<p>The Terrence Queen Sleeper sofa comes with an upgrade memory foam mattress. 100% leather seating in beige.</p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p>87"" W x 39"" D x 39"" H</p>","Mstar","sofas","Barbra08-19, Black_2017, color-beige, Columbus_2017_1, Columbus_2018, Exclusive_Neha_10, export-1, Holiday_1, Jan_14_2019, July_2017, material-leather-, material-leather-match, motion, President_day, sleeper, sleepers, style-contemporary, SUMMER_CL_2018, under-1000, width-85-95","REPLACE","2017-07-08T13:42:41-04:00","2020-02-06T05:02:11-05:00","true","2016-09-28T10:19:00-04:00","global","","https://www.jenniferfurniture.com/products/terrence-power-sofa"
"11602472723","opus-sofa-1","UPDATE","Opus Sofa with Sleeper Options","<p><strong>✪ PRE-ORDER NOW!  ETA March '20 ✪   </strong><br></p>
<p>*If you have any questions, please contact us.</p>
<p> </p>
<p>The Opus Upholstery Collection's contemporary design brings a sophisticated and conservative style to your living room.  The Opus has a sofabed option as well.</p>
<p>  </p>
<p><strong>DIMENSIONS</strong></p>
<p>83"" W x 38"" D x 38"" H</p>
<p><strong>*KD Feature:</strong><span> This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</span></p>","Mstar","sofas","Aug_2017, bed-poster, BF2019, Black_Friday_Plus_2018, BlackFriday_Plus, changeimage, clearance, color-charcoal-grey, Columbus_2017_1, ElectionDay_2018, featured, Holiday_1, Jan_14_2019, july4th_2018, material-polyester, New_Year_2018, old_clumbus, President_day, President_Sale_2019, quick-ship, sleeper, sleeper-queen, style-casual, style-contemporary, Summer_2019, SUMMER_CL_2018, TAX, under-1000, under-1500, under-2000, under-500, width-75-85","REPLACE","2017-07-08T13:59:43-04:00","2020-02-06T10:44:34-05:00","true","2017-07-08T14:03:00-04:00","global","","https://www.jenniferfurniture.com/products/opus-sofa-1"
"63092228115","piero-sofa","UPDATE","Piero Sofa","<p>The Piero Living Room Collection is all about simplicity, comfort and value. The Piero will bring a warm timeless style into your living room ,it's a leather match collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>89"" W x 39"" D x 36"" H</p>
<p><strong>In Home Delivery</strong></p>
<p><br>*Subject to stock availability and verification. After purchase we will arrange delivery date and confirm the order.</p>","Mstar","sofas","changeimage, ElectionDay_2018, Exclusive_Neha_10, Holiday_1, Jan_14_2019, july4th_2018, match leather, material-leather-match, MLK, preorder, President_day, sleeper, sleeper-queen, style-casual, style-contemporary, TAX2019, under-1000, under-1500, under-2000, width-55-65","REPLACE","2017-11-27T00:05:48-05:00","2020-02-05T23:06:45-05:00","true","2016-04-28T14:21:00-04:00","global","","https://www.jenniferfurniture.com/products/piero-sofa"
"228242128915","jackie-sofa","UPDATE","Jackie Sofa","<p>The Jackie Living Room Collection is all about simplicity, comfort and affordable. The Jackie will bring a warm timeless style into your living room.</p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa - 84.75""W x 37.75""D x 39.25""H</p>
<p>Queen Sleeper - 84.75""W x 37.75 ""D x 39.25""H</p>","Mstar","sofas","Exclusive_Neha_10, Jan_14_2019, sleeper, sleeper-queen, style-casual, style-contemporary, under-1000, under-1500, under-2000, width-55-65","REPLACE","2018-04-07T15:12:58-04:00","2020-02-05T22:49:11-05:00","true","2018-04-20T11:54:27-04:00","global","","https://www.jenniferfurniture.com/products/jackie-sofa"
"8465795975","marino-sofa","UPDATE","Marino Sofa","<p>The Marino Sofa is perfect for any living space. It's rolled arms and big cushions make it the ultimate spot to relax in. Upholstered in leather match materials, the Marino looks as regal as it is comfortable.</p>
<p><strong>DIMENSIONS</strong></p>
<p>92"" W x 36.5"" D x 35.75"" H</p>","Mstar","Sofas","changeimage, clearance, color-brown, columbus, Columbus_2017_1, July_2017, material-leather-match, style-traditional, Summer_2017, under-1000, under-1500, under-2000, width-85-95","REPLACE","2016-08-11T09:48:57-04:00","2020-01-19T15:09:30-05:00","true","2020-01-19T01:38:30-05:00","global","","https://www.jenniferfurniture.com/products/marino-sofa"
"769311768690","clancy-sofa","UPDATE","Clancy Sofa","<p>﻿The Clancy Living Room Collection in black is all about simplicity, comfort and affordable. The Clancy will bring a warm timeless style into your living room.</p>
<p><strong>In Home Delivery</strong></p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa - 84"" W x 37"" D x 35"" H</p>
<p> </p>","Mstar","sofas","BF2019, color-black, ElectionDay_2018, export-1, Jan_14_2019, material-leather-match, Memorial2019, sale-presidents day-2020, sleeper, sleeper-queen, style-casual, style-contemporary, under-1000, under-1500, under-2000, width-75-85","REPLACE","2018-05-06T21:27:57-04:00","2020-02-06T10:59:47-05:00","true","2018-05-07T23:48:11-04:00","global","","https://www.jenniferfurniture.com/products/clancy-sofa"
"769311932530","randall-sofa","UPDATE","Randall Sofa","<p>The Randall Living Room Collection in soft beige is all about simplicity, comfort and affordable. The Randall will bring a warm timeless style into your living room.</p>
<p>Your choice of Regular Sofa or Queen Sleeper with Memory Foam Mattress.</p>
<p><strong>DIMENSIONS</strong></p>
<p>88"" W x 39"" D x 38"" H</p>","Mstar","Sofas","color-cream, color-white, Exclusive_Neha_10, Jan_14_2019, Labor2018, material-fabric, Memorial2019, sleeper, sleeper-queen, style-casual, style-contemporary, under-1000, under-1500, under-2000, width-55-65","REPLACE","2018-05-06T21:39:32-04:00","2020-02-05T22:49:13-05:00","true","2018-05-08T00:23:52-04:00","global","","https://www.jenniferfurniture.com/products/randall-sofa"
"769312096370","lonnie-sofa","UPDATE","Lonnie Sofa","<p>Lonnie's mid-century vibe will bring<span> </span>timeless style into your living room. 100% leather seating area in a warm brown color sure to entice!</p>
<p>Queen Sleeper includes upgraded Memory Foam mattress</p>
<p><strong>DIMENSIONS</strong></p>
<p><span>Sofa -87"" W x 38"" D x 36"" H</span></p>
<p><br></p>","Mstar","Sofas","Barbra02-20, BF2019, Black_Friday_Plus_2018, color-brown, ElectionDay_2018, Holiday_2018, Jan_14_2019, material-leather-match, Memorial2019, New_Year_2018, sleeper, sleeper-queen, style-casual, style-contemporary, SUMMER_CL_2018, TAX2019, under-1000, under-1500, width-85-95","REPLACE","2018-05-06T21:48:22-04:00","2020-02-06T09:55:33-05:00","true","2018-05-08T00:18:13-04:00","global","","https://www.jenniferfurniture.com/products/lonnie-sofa"
"1364002898010","chevy-sofa","UPDATE","Chevy Sofa","<p>The Chevy Living Room Collection in black leather is all about simplicity, comfort and affordability. Regular Sofa or Queen Sleeper.</p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa - 84"" W x 37"" D x 35"" H</p>
<p> </p>","Mstar","Sofas","color-black, Columbus_2018, Exclusive_Neha_10, Jan_14_2019, material-leather-match, PREORDER, sleeper, sleeper-queen, style-casual, style-contemporary, under-1000, under-1500, under-2000, width-55-65","REPLACE","2018-09-19T23:26:13-04:00","2020-02-06T10:43:35-05:00","true","2018-05-07T23:48:11-04:00","global","","https://www.jenniferfurniture.com/products/chevy-sofa"
"1479092011098","mazda-sofa","UPDATE","Mazda Sofa","<p>The Mazda Collection in gray leather is all about simplicity, comfort and affordability. Sink into the plush seats. The Mazda will bring a warm timeless style into your living room.</p>
<p> </p>
<p><strong>In Home Delivery</strong></p>
<p><strong>KD Feature:</strong><span> </span>This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</p>
<p> </p>
<p> </p>
<p> <strong>DIMENSIONS</strong></p>
<p>Sofa - 77""W  x 35""D  x 38""H </p>","Mstar","sofas","BF2019, Black_Friday_2018, clearance, color-gray, featured, Jan_14_2019, july2019, material-leather-match, Memorial2019, style-casual, style-contemporary, under-1000, under-1500, under-2000","REPLACE","2018-09-27T08:26:17-04:00","2020-02-06T10:43:35-05:00","true","2020-01-21T13:01:32-05:00","global","","https://www.jenniferfurniture.com/products/mazda-sofa"
"1364005224538","olds-sofa","UPDATE","Olds Sofa","<p><span>The Olds Living Room Collection in rich dark brown is all about simplicity, comfort and affordability. Olds will bring a warm timeless style into your living room.</span></p>
<p><span>Queen Sleeper includes upgraded Memory Foam Mattress</span></p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa - 94""W x 41""D x 38""H</p>","Mstar","Sofas","color-dark-brown, ElectionDay_2018, Exclusive_Neha_10, Jan_14_2019, material-leather-match, sleeper, sleeper-queen, style-casual, style-contemporary, under-1000, under-1500, under-2000, width-85-95","REPLACE","2018-09-19T23:41:39-04:00","2020-02-06T10:43:35-05:00","true","2018-05-07T23:48:11-04:00","global","","https://www.jenniferfurniture.com/products/olds-sofa"
